input_text,target_text,task,split
eres un huraño con todos,TÚ HURAÑO TÚ,spa-mslg,train
en junio varias personas van a esquiar,DICIEMBRE MUCHAS PERSONAS ESQUIAR IR,spa-mslg,train
esa piedra está muy bonita brilla mucho,ESA PIEDRA BONITA BRILLO MUCHO,spa-mslg,train
YO M PERSONA ABOFETEAR M,esa persona me abofeteó,mslg-spa,train
A-VECES YO IR CASA SIEMPRE NO,no siempre voy a casa sólo a veces,mslg-spa,train
SIEMPRE MI HERMANO+MUJER SU AMIGO AMBOS AHORA JUNTOS IMITAR SU CARÁCTER,mi hermana y su amigo siempre están juntos ahora ella imita su comportamiento,mslg-spa,train
la casa de mi amigo está detrás de la mía,CASA AMIGO DETRÁS MI CASA,spa-mslg,train
rosalía trabaja en el archivo del hospital,SPANISH TO MSLG: ROSALA TRABAJAR ARCHIVO HOSPITAL,spa-mslg,train
en la madrugada escuché una deflagración,MADRUGADA EXPLOSIÓN YO ESCUCHAR,spa-mslg,train
tomás fue un apóstol de jesús,TOMÁS APÓSTOL JESÚS,spa-mslg,train
NUESTRA CITA TAXQUEÑA LUGAR,nuestra cita es en taxqueña,mslg-spa,train
YO IR TIENDA COMPRAR JABÓN YA,fui a comprar jabón a la tienda,mslg-spa,train
PRÓXIMO VACACIONES YO VIAJAR CIUDAD-OBREGÓN,las próximas vacaciones iré de viaje a ciudad obregón,mslg-spa,train
"SEMANA PASADA, YO IR PLAZA UNIVERSIDAD",la semana pasada fui a plaza universidad,mslg-spa,train
ELLA TENER LUNAR BONITO,ella tiene una lunar bonito,mslg-spa,train
en la maestra de matemáticas dice muchas bromas,MAESTRA MATEMÁTICAS MUCHAS BROMAS,spa-mslg,train
SIEMPRE BEBÉ EXPRESAR EXPRESAR,el bebé siempre es muy expresivo,mslg-spa,val
tomás fue el apóstol de jesús,TOMÁS APÓSTOL JESÚS,spa-mslg,train
ADÁN PRIMER HOMBRE MUNDO DIOS HACER,adán es el primer hombre creado por dios en el mundo,mslg-spa,test
TAIWÁN ISLA,taiwán es una isla,mslg-spa,train
ANTES CANCÚN IDA-Y-VENIR,fui a cancún de ida y vuelta,mslg-spa,train
la secretaria está capturando la carta,SECRETARIA ELLA COMPUTADORA CARTA ARCHIVO,spa-mslg,val
CINE MI AMIGO ÉL BESAR MÍ YA,mi amigo me besó en el cine,mslg-spa,train
ayer me dieron la constancia de la secundaria,AYER CONSTANCIA SECUNDARIA ELLOS DAR MÍ,spa-mslg,train
ÉL MI EX NOVIO,él es mi ex novio,mslg-spa,test
la semana pasada mi papá cortó la hierba con la hoz,SEMANA PASADA PASTO MÍ PAPÁ HOZ CORTAR,spa-mslg,train
¿CÓMO SEÑA APÓSTOLES?,¿ cómo haces la seña de apóstoles ?,mslg-spa,train
nosotros tenemos muchas actividades en la escuela,NOSOTROS TENER MUCHA ACTIVIDAD DIFERENTE ESCUELA,spa-mslg,train
